generation	clone_id	dN	dS	pN	pS
42001	9	22	22	7	2
42501	0	23	10	17	5
42501	1	11	14	6	4
42501	2	60	26	23	15
42501	3	20	8	6	4
42501	4	18	8	10	3
42501	5	35	12	12	5
42501	6	52	22	26	12
42501	7	27	24	19	6
42501	8	18	8	8	6
42501	9	22	24	8	2
43001	0	23	11	12	3
43001	1	7	13	16	3
43001	2	60	28	23	22
43001	3	18	9	14	2
43001	4	18	9	10	2
43001	5	37	14	12	3
43001	6	49	24	28	9
43001	7	26	23	17	6
43001	8	18	10	9	1
43001	9	21	22	9	6
43501	0	24	11	15	6
43501	1	9	12	12	6
43501	2	57	29	29	11
43501	3	22	10	6	3
43501	4	21	9	12	2
43501	5	36	13	11	6
43501	6	57	25	19	8
43501	7	24	22	20	7
43501	8	16	10	10	5
43501	9	21	22	8	3
44001	0	27	11	12	4
44001	1	10	13	12	3
44001	2	59	28	29	8
44001	3	21	9	7	5
44001	4	18	9	7	6
44001	5	33	13	11	7
44001	6	53	24	24	10
44001	7	25	24	18	6
44001	8	18	11	6	1
44001	9	20	24	17	6
44501	0	25	10	13	5
44501	1	13	14	9	8
44501	2	60	31	30	13
44501	3	23	10	6	2
44501	4	20	10	11	2
44501	5	33	12	11	8
44501	6	54	25	22	7
44501	7	26	24	19	7
44501	8	14	10	8	6
44501	9	21	25	13	5
45001	0	28	11	11	2
45001	1	11	14	7	3
45001	2	60	31	29	18
45001	3	22	8	8	1
45001	4	18	8	10	5
45001	5	34	11	12	7
45001	6	53	25	28	8
45001	7	29	25	17	5
45001	8	17	9	8	2
45001	9	20	24	15	5
45501	0	26	11	15	4
45501	1	13	14	4	3
45501	2	59	29	35	21
45501	3	23	10	8	5
45501	4	20	9	8	3
45501	5	36	14	13	4
45501	6	58	26	24	13
45501	7	28	25	16	10
45501	8	17	10	11	4
45501	9	19	23	8	2
46001	0	27	10	11	4
46001	1	10	13	13	4
46001	2	56	28	35	16
46001	3	24	9	3	5
46001	4	19	10	8	4
46001	5	36	15	14	6
46001	6	55	25	29	6
46001	7	27	26	15	5
46001	8	17	10	12	6
46001	9	21	26	14	3
46501	0	27	12	8	4
46501	1	13	14	9	4
46501	2	61	32	24	11
46501	3	24	9	8	0
46501	4	19	11	6	4
46501	5	38	13	10	8
46501	6	66	26	13	7
46501	7	28	26	14	7
46501	8	19	11	8	2
46501	9	21	23	13	6
47001	0	25	12	11	6
47001	1	12	13	7	2
47001	2	62	33	30	11
47001	3	24	10	6	1
47001	4	20	11	11	5
47001	5	35	15	13	3
47001	6	64	28	24	10
47001	7	30	27	22	4
47001	8	21	11	7	1
47001	9	20	25	5	4
47501	0	26	11	8	5
47501	1	12	15	9	4
47501	2	59	31	24	14
47501	3	22	10	8	1
47501	4	19	10	11	7
47501	5	39	14	14	9
47501	6	66	28	19	8
47501	7	25	26	28	6
47501	8	19	10	6	5
47501	9	18	24	12	4
48001	0	27	12	12	3
48001	1	12	15	12	3
48001	2	54	31	30	21
48001	3	23	10	7	1
48001	4	18	10	13	12
48001	5	38	14	18	10
48001	6	66	27	26	12
48001	7	26	22	23	7
48001	8	20	10	9	4
48001	9	19	25	15	7
48501	0	26	11	15	5
48501	1	12	14	10	7
48501	2	61	33	17	19
48501	3	22	9	6	4
48501	4	18	11	17	5
48501	5	35	13	10	9
48501	6	63	27	20	12
48501	7	31	25	22	3
48501	8	20	10	5	2
48501	9	22	24	12	5
49001	0	26	11	13	7
49001	1	13	15	11	1
49001	2	58	33	21	15
49001	3	24	11	6	1
49001	4	20	11	10	8
49001	5	38	16	11	5
